383.22, 1450, 1895
377.66, 1532, 1944
372.55, 1519, 1907
367.21, 1475, 1888
361.88, 1405, 1840
356.54, 1423, 1869
351.21, 1480, 1858
346.09, 1512, 1812
340.76, 1533, 1766
335.20, 1570, 1765
329.87, 1533, 1774
324.75, 1560, 1747
319.42, 1590, 1735
314.09, 1585, 1738
308.75, 1597, 1746
303.19, 1566, 1717
297.86, 1598, 1804
292.52, 1604, 1784
287.41, 1588, 1766
281.85, 1614, 1820
276.52, 1585, 1881
271.18, 1627, 1907
265.85, 2328, 2474
260.29, 2668, 2682
254.96, 2706, 2717
249.62, 2712, 2727
244.51, 2716, 2727
239.18, 2709, 2728
233.84, 2704, 2732
228.51, 2704, 2728
223.17, 2716, 2727
217.84, 2591, 2659
212.50, 2034, 2452
207.17, 1546, 1903
201.83, 1513, 1759
196.50, 1496, 1748
191.16, 1576, 1779
185.83, 1610, 1848
180.49, 1561, 1860
175.16, 1781, 2150
169.82, 2480, 2532
164.49, 2664, 2705
159.15, 2709, 2719
153.82, 2702, 2720
148.48, 2695, 2717
143.15, 2700, 2727
137.82, 2718, 2730
132.48, 2723, 2732
127.15, 2702, 2722
122.03, 2527, 2586
116.48, 1818, 2311
111.36, 1532, 1912
105.81, 1547, 1983
100.47, 1529, 1975
95.14, 1527, 1948
89.80, 1527, 1899
84.47, 1568, 1961
79.13, 1610, 2052
73.80, 1612, 2120
68.46, 1616, 2105
63.13, 1608, 2007
57.79, 1583, 1955
52.46, 1542, 1933
47.12, 1527, 1927
41.79, 1596, 1888
36.45, 1604, 1834
31.12, 1607, 1889
25.78, 1676, 1841
20.45, 1696, 1898
15.12, 1702, 1849
9.78, 1631, 1879
4.22, 1684, 1889
-0.89, 1714, 1936
-6.22, 1708, 1915
-8.89, 1617, 1873
-8.00, 1382, 1518
-3.78, 1727, 1983
2.00, 1667, 1879
8.00, 1644, 1877
13.34, 1678, 1906
18.23, 1689, 1834
23.78, 1716, 1863
29.12, 1618, 1846
34.45, 1606, 1867
39.79, 1616, 1874
45.12, 1536, 1884
50.24, 1527, 1935
55.79, 1587, 1946
61.13, 1574, 1971
66.46, 1645, 2047
71.80, 1596, 2145
77.13, 1581, 2110
82.47, 1629, 2031
87.80, 1565, 1924
93.14, 1509, 1914
98.47, 1515, 1970
103.81, 1537, 1983
109.14, 1545, 1992
114.48, 1553, 1980
119.81, 2149, 2464
125.15, 2618, 2670
130.48, 2714, 2727
135.81, 2711, 2728
141.15, 2714, 2726
146.48, 2705, 2724
151.82, 2685, 2718
156.93, 2696, 2720
162.49, 2716, 2722
167.82, 2619, 2668
173.16, 2329, 2475
178.49, 1591, 1998
183.83, 1578, 1861
189.16, 1575, 1826
